ID,SH,SG,G,A,OF,FD,FC,SV,YC,RC
121,13.0,5.0,1.0,1.0,1.0,1.0,-1.0,-5.0,0.0,0
122,6.0,-1.0,-2.0,1.0,2.0,8.0,1.0,-1.0,0.0,1.0
123,-9.0,-4.0,0.0,0.0,-2.0,-5.0,6.0,4.0,2.0,0
124,16.0,2.0,-1.0,-1.0,3.0,-2.0,1.0,-2.0,-3.0,0
125,3.0,-2.0,-1.0,0,-1.0,10.0,-10.0,-1.0,4.0,0
126,5.0,2.0,2.0,2.0,4.0,-3.0,3.0,1.0,-1.0,0
127,3.0,-2.0,-3.0,-1.0,-3.0,3.0,7.0,-2.0,0.0,0
128,-13.0,0.0,-1.0,0,4.0,1.0,1.0,-3.0,1.0,0
129,13.0,4.0,2.0,1.0,-2.0,3.0,-7.0,2.0,-1.0,0
130,6.0,6.0,4.0,1.0,1.0,-4.0,-1.0,1.0,-2.0,-1.0
131,7.0,-1.0,0.0,0.0,-5.0,0.0,-2.0,0.0,-3.0,0
132,2.0,0.0,-1.0,-1.0,3.0,-1.0,3.0,-1.0,0.0,0
133,15.0,6.0,0,0,4.0,1.0,-2.0,0,0.0,0
134,-6.0,-2.0,1.0,0,1.0,5.0,-4.0,4.0,0.0,1.0
135,10.0,-1.0,0,0,-2.0,1.0,-3.0,0,-1.0,0
136,9.0,3.0,0.0,0.0,0.0,2.0,-2.0,-3.0,0.0,0
137,1.0,-1.0,1.0,1.0,0,-6.0,8.0,2.0,3.0,0
138,12.0,2.0,-1.0,-1.0,0.0,-2.0,2.0,-3.0,0.0,0
139,-4.0,1.0,1.0,1.0,4.0,5.0,-7.0,0.0,0,0
140,14.0,2.0,1.0,0,-3.0,5.0,-5.0,5.0,-2.0,0
141,4.0,-1.0,0,0,2.0,0.0,-1.0,0,-2.0,0
142,7.0,5.0,2.0,1.0,0.0,1.0,0.0,2.0,-1.0,0
143,-9.0,-2.0,0,0,0.0,-4.0,4.0,0,0.0,0
144,21.0,7.0,1.0,1.0,-3.0,-4.0,3.0,2.0,0.0,0
145,3.0,2.0,1.0,1.0,-5.0,5.0,-4.0,2.0,0,0
146,-6.0,-5.0,-1.0,0,0.0,2.0,-2.0,0,1.0,0
147,9.0,6.0,3.0,-1.0,1.0,1.0,-1.0,-3.0,1.0,-1.0
148,1.0,1.0,1.0,1.0,1.0,1.0,0.0,4.0,-2.0,0
149,0.0,-2.0,-2.0,-2.0,0.0,7.0,-3.0,-1.0,2.0,0
150,-2.0,0.0,1.0,1.0,1.0,-1.0,1.0,4.0,0.0,0
151,10.0,6.0,1.0,0,5.0,2.0,-1.0,0,-1.0,-1.0
152,-2.0,-6.0,-1.0,1.0,1.0,2.0,0.0,6.0,-3.0,0
153,0.0,-2.0,0.0,0.0,-1.0,3.0,-1.0,2.0,-1.0,0
154,8.0,3.0,0.0,0.0,1.0,1.0,-2.0,-3.0,-1.0,0
155,1.0,0.0,0,0,1.0,-2.0,2.0,0,0.0,0
156,9.0,-2.0,-1.0,-2.0,4.0,2.0,5.0,1.0,0.0,0
157,15.0,6.0,2.0,2.0,-4.0,9.0,-8.0,1.0,-2.0,0
158,-11.0,-1.0,1.0,1.0,2.0,2.0,-4.0,5.0,-4.0,0
